number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_horizon,params_lags,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_rolling_window,params_subsample,params_use_all_stats,params_use_fourier,params_use_holidays,state
60,0.17773244048552006,2025-08-26 00:25:48.662343,2025-08-26 00:25:49.280640,0 days 00:00:00.618297,0.8472440963041085,1,"(1, 2, 3, 4, 5)",0.016014853246372463,4,0.12773146729495852,480,0.011042867761486774,19.13011387622255,"(3, 6)",0.8917169887825002,True,True,True,COMPLETE
61,0.1730238533301458,2025-08-26 00:25:49.280960,2025-08-26 00:25:50.575308,0 days 00:00:01.294348,0.8013651821630091,1,"(1, 2, 3, 4, 5)",0.013296812384033553,8,0.2632530581974459,513,0.09951151320320041,45.64588318266631,"(3, 6)",0.8211694607003563,True,True,True,COMPLETE
62,0.17525979858425778,2025-08-26 00:25:50.575658,2025-08-26 00:25:51.921187,0 days 00:00:01.345529,0.8734191894737787,1,"(1, 2, 3, 4, 5)",0.014926926397469046,8,0.32367473028886967,532,0.09871146316990528,30.199717471081666,"(3, 6)",0.8355387023638202,True,True,True,COMPLETE
63,0.1719870162955022,2025-08-26 00:25:51.921544,2025-08-26 00:25:52.956293,0 days 00:00:01.034749,0.7476035413203014,1,"(1, 2, 3, 4, 5)",0.019921177640284827,8,0.22944840117594018,420,1.164866088357583,71.2059990518006,"(3, 6)",0.8096555271925047,True,True,True,COMPLETE
64,0.17160866252286439,2025-08-26 00:25:52.956633,2025-08-26 00:25:54.015053,0 days 00:00:01.058420,0.7362031827108506,1,"(1, 2, 3, 4, 5)",0.012757512403616078,8,0.178185679790572,428,1.1897692470374528,45.04292325711965,"(3, 6)",0.8103714686787011,True,True,True,COMPLETE
65,0.1783373047790881,2025-08-26 00:25:54.015379,2025-08-26 00:25:54.820590,0 days 00:00:00.805211,0.7432345406432248,1,"(1, 2, 3, 4, 5)",0.012293359275103766,8,0.17637116884520718,323,1.3325727055712826,47.49015203300671,"(3, 6)",0.8113635478093046,True,True,True,COMPLETE
66,0.17895502859987258,2025-08-26 00:25:54.820936,2025-08-26 00:25:55.993970,0 days 00:00:01.173034,0.7420006776883308,1,"(1, 2, 3, 4, 5)",0.01420011146070536,9,0.5018069403783972,425,4.3675873467056325,6.02264308368034,"(3, 6)",0.7807325369971736,True,True,True,COMPLETE
67,0.1987355583745352,2025-08-26 00:25:55.994334,2025-08-26 00:25:56.895493,0 days 00:00:00.901159,0.7217717841507147,1,"(1, 2, 3, 4, 5)",0.018169620176440082,8,0.10180003964969209,358,2.3468241730038812,0.40851487434577916,"(3, 6)",0.7930202730739956,True,True,True,COMPLETE
68,0.1723471621337267,2025-08-26 00:25:56.895847,2025-08-26 00:25:58.149554,0 days 00:00:01.253707,0.7080656009278895,1,"(1, 2, 3, 4, 5)",0.011180014676015057,9,0.13033323096092822,437,0.565826445340657,69.51412512247711,"(3, 6)",0.9737731130095608,True,True,True,COMPLETE
69,0.17405447176194314,2025-08-26 00:25:58.149884,2025-08-26 00:25:59.286208,0 days 00:00:01.136324,0.7022785262911545,1,"(1, 2, 3, 4, 5)",0.011016761026939322,9,0.1333175469333409,400,1.1880485889231283,70.28422246546812,"(3, 6)",0.9853404453604957,True,True,True,COMPLETE
70,0.24541973816202628,2025-08-26 00:25:59.286560,2025-08-26 00:26:00.561753,0 days 00:00:01.275193,0.7136991397712982,3,"(1, 2, 3, 4, 5)",0.01098880011905047,10,0.18518072181218304,438,1.9931524229997877,27.001774335155616,"(3, 6)",0.7465853736019527,False,True,True,COMPLETE
71,0.17096529135515076,2025-08-26 00:26:00.562102,2025-08-26 00:26:02.004994,0 days 00:00:01.442892,0.7530947780841152,1,"(1, 2, 3, 4, 5)",0.012648324709615874,9,0.2327039942772639,489,0.9007196741318648,41.51885367470428,"(3, 6)",0.9737700210660851,True,True,True,COMPLETE
72,0.17033945299923722,2025-08-26 00:26:02.005359,2025-08-26 00:26:03.191075,0 days 00:00:01.185716,0.7360603183409349,1,"(1, 2, 3, 4, 5)",0.015529941439956159,9,0.22526552766837457,417,0.9847483780760544,69.39134479382435,"(3, 6)",0.9571933271077838,True,True,True,COMPLETE
73,0.21950692256727267,2025-08-26 00:26:03.191434,2025-08-26 00:26:04.394373,0 days 00:00:01.202939,0.733851308952865,1,"(1, 2, 3, 4, 5)",0.012643851567433287,9,0.16595556866092812,420,0.6335185504215839,0.2157614143737732,"(3, 6)",0.9711942661652792,True,True,True,COMPLETE
